Flow ID,Flow,HS4 4 Digit ID,HS4 4 Digit,Date Year,State ID,State,Chapter 4 Digit ID,Chapter 4 Digit,Trade Value
2,Exports,10101,"Horses, Asses, Mules and Hinnies",2021,26,Sonora,1,Animal Products,85204
2,Exports,10102,Live Animals of the Bovine Species,2021,9,Ciudad de México,1,Animal Products,2858060
2,Exports,10102,Live Animals of the Bovine Species,2021,14,Jalisco,1,Animal Products,412094
2,Exports,10102,Live Animals of the Bovine Species,2021,19,Nuevo León,1,Animal Products,6916241
2,Exports,10102,Live Animals of the Bovine Species,2021,26,Sonora,1,Animal Products,87167022
2,Exports,10106,Others Live Animals,2021,9,Ciudad de México,1,Animal Products,91145
2,Exports,10106,Others Live Animals,2021,14,Jalisco,1,Animal Products,4059234
2,Exports,10201,"Meat of Bovine Animals, Fresh or Chilled",2021,19,Nuevo León,1,Animal Products,80087624
2,Exports,10201,"Meat of Bovine Animals, Fresh or Chilled",2021,26,Sonora,1,Animal Products,13663611
2,Exports,10202,"Meat of Bovine Animals, Frozen",2021,19,Nuevo León,1,Animal Products,23662880
2,Exports,10203,"Meat of Swine, Fresh, Chilled or Frozen",2021,14,Jalisco,1,Animal Products,43230166
2,Exports,10203,"Meat of Swine, Fresh, Chilled or Frozen",2021,26,Sonora,1,Animal Products,462945576
2,Exports,10206,"Edible Offal of Bovine, Swine, Sheep, Goats, Horses, Asses, Mules or Hinnies, Fresh, Chilled or Frozen",2021,9,Ciudad de México,1,Animal Products,630647
2,Exports,10206,"Edible Offal of Bovine, Swine, Sheep, Goats, Horses, Asses, Mules or Hinnies, Fresh, Chilled or Frozen",2021,19,Nuevo León,1,Animal Products,6623100
2,Exports,10206,"Edible Offal of Bovine, Swine, Sheep, Goats, Horses, Asses, Mules or Hinnies, Fresh, Chilled or Frozen",2021,26,Sonora,1,Animal Products,19872605
2,Exports,10207,"Edible Meat and Offal of Poultry of Heading 0105, Fresh, Chilled or Frozen",2021,19,Nuevo León,1,Animal Products,4007558
2,Exports,10209,"Bacon Lean and Fat without Parts of Pork or Poultry not Rendered or otherwise Extracted, Fresh, Chilled, Frozen, Salted in Brine, Dried or Smoked",2021,26,Sonora,1,Animal Products,1948611
2,Exports,10302,"Fish, Fresh or Chilled, Excluding Fish Fillets and other Fish Meat of Heading 0304",2021,26,Sonora,1,Animal Products,441895
2,Exports,10303,"Fish, Frozen, Excluding Fish Fillets and other Fish Meat of Heading 0304",2021,26,Sonora,1,Animal Products,1359421
2,Exports,10304,"Fish Fillets and other Fish Meat (Whether or not Minced), Fresh, Chilled or Frozen",2021,26,Sonora,1,Animal Products,186496
2,Exports,10305,"Dry Fish, Salted or in Brine; Smoked Fish, whether Cooked before or during the Smoking Process; Flours, Meals and ""Pellets"", Fit for Human Consumption",2021,14,Jalisco,1,Animal Products,306221
2,Exports,10306,"Crustaceans; in Shell or Not, Live, Fresh, Chilled, Frozen, Dried, Salted or in Brine; Smoked, Cooked or not before or during Smoking",2021,9,Ciudad de México,1,Animal Products,560926
2,Exports,10306,"Crustaceans; in Shell or Not, Live, Fresh, Chilled, Frozen, Dried, Salted or in Brine; Smoked, Cooked or not before or during Smoking",2021,26,Sonora,1,Animal Products,181741491
2,Exports,10307,"Mollusks, even in Shell, Live, Fresh, Chilled, Frozen, Dried, Salted or in Brine; Ahumados Mollusks, whether in Shell or Cooked before or during the Smoking Process; Flours, Meals and ""Pellets"" Mollusk, Aptos for Human Consumption",2021,14,Jalisco,1,Animal Products,318123
2,Exports,10307,"Mollusks, even in Shell, Live, Fresh, Chilled, Frozen, Dried, Salted or in Brine; Ahumados Mollusks, whether in Shell or Cooked before or during the Smoking Process; Flours, Meals and ""Pellets"" Mollusk, Aptos for Human Consumption",2021,26,Sonora,1,Animal Products,4851002
2,Exports,10308,"Aquatic Invertebrates other Crustaceans and Molluscs, Live, Fresh, Chilled, Frozen, Dried, Salted or in Brine; Aquatic Invertebrates other than Crustaceans and Molluscs, Smoked, even Cooked before or during the Smoking Process; Flours, Meals and ""Pellets"" of Aquatic Invertebrates other than Crustaceans and Molluscs, Fit for Human Consumption",2021,26,Sonora,1,Animal Products,9332331
2,Exports,10401,"Milk and Cream (Cream), not Concentrated, not Containing Added Sugar or other Sweetening Matter",2021,9,Ciudad de México,1,Animal Products,1282737
2,Exports,10401,"Milk and Cream (Cream), not Concentrated, not Containing Added Sugar or other Sweetening Matter",2021,19,Nuevo León,1,Animal Products,41779
2,Exports,10402,"Milk and Cream (Cream), Concentrated or Containing Added Sugar or other Sweetener",2021,9,Ciudad de México,1,Animal Products,59443317
2,Exports,10402,"Milk and Cream (Cream), Concentrated or Containing Added Sugar or other Sweetener",2021,14,Jalisco,1,Animal Products,9990255
2,Exports,10402,"Milk and Cream (Cream), Concentrated or Containing Added Sugar or other Sweetener",2021,19,Nuevo León,1,Animal Products,10068585
2,Exports,10403,"Buttermilk (Butter), Milk and Cream Curds (Cream), Yogurt, Kephir and other Milk and Cream (Creams), Fermented or Acidified not Concentrated, Containing Added Sugar or other Sweetening Matter, Flavored or with Fruit or Nuts O Cacao",2021,9,Ciudad de México,1,Animal Products,6168
2,Exports,10403,"Buttermilk (Butter), Milk and Cream Curds (Cream), Yogurt, Kephir and other Milk and Cream (Creams), Fermented or Acidified not Concentrated, Containing Added Sugar or other Sweetening Matter, Flavored or with Fruit or Nuts O Cacao",2021,14,Jalisco,1,Animal Products,5805519
2,Exports,10403,"Buttermilk (Butter), Milk and Cream Curds (Cream), Yogurt, Kephir and other Milk and Cream (Creams), Fermented or Acidified not Concentrated, Containing Added Sugar or other Sweetening Matter, Flavored or with Fruit or Nuts O Cacao",2021,19,Nuevo León,1,Animal Products,22333
2,Exports,10405,Butter (Butter) and other Fats and Oils Derived from Milk; Dairy Spreads,2021,9,Ciudad de México,1,Animal Products,411163
2,Exports,10405,Butter (Butter) and other Fats and Oils Derived from Milk; Dairy Spreads,2021,19,Nuevo León,1,Animal Products,140487
2,Exports,10406,Cheese and Curd,2021,9,Ciudad de México,1,Animal Products,895701
2,Exports,10406,Cheese and Curd,2021,14,Jalisco,1,Animal Products,13362185
2,Exports,10406,Cheese and Curd,2021,19,Nuevo León,1,Animal Products,123248
2,Exports,10409,Natural Honey,2021,9,Ciudad de México,1,Animal Products,15727523
2,Exports,10409,Natural Honey,2021,14,Jalisco,1,Animal Products,7865751
2,Exports,10504,"Guts, Bladders and Stomachs of Animals other than Fish, whole and Pieces Thereof, Fresh, Chilled, Frozen, Salted or in Brine, Dried or Smoked",2021,19,Nuevo León,1,Animal Products,4099690
2,Exports,10504,"Guts, Bladders and Stomachs of Animals other than Fish, whole and Pieces Thereof, Fresh, Chilled, Frozen, Salted or in Brine, Dried or Smoked",2021,26,Sonora,1,Animal Products,1855779
2,Exports,10506,"Bones and Horn-Cores, Unworked, Defatted, Simply Prepared (But not Cut to Shape), Treated with Acid or Degelatinised; Powder and Waste of these Products",2021,26,Sonora,1,Animal Products,1015495
2,Exports,10511,"Products of Animal Origin not Specified or Included Elsewhere; Dead Animals of Chapter 1 or 3, Unfit for Human Consumption",2021,9,Ciudad de México,1,Animal Products,1135925
2,Exports,10511,"Products of Animal Origin not Specified or Included Elsewhere; Dead Animals of Chapter 1 or 3, Unfit for Human Consumption",2021,19,Nuevo León,1,Animal Products,847289
2,Exports,10511,"Products of Animal Origin not Specified or Included Elsewhere; Dead Animals of Chapter 1 or 3, Unfit for Human Consumption",2021,26,Sonora,1,Animal Products,2010710
2,Exports,20602,"Other Live Plants (Including their Roots), Cuttings and Slips; Mycelia",2021,9,Ciudad de México,2,Vegetable Products,397212
2,Exports,20602,"Other Live Plants (Including their Roots), Cuttings and Slips; Mycelia",2021,14,Jalisco,2,Vegetable Products,35564
2,Exports,20603,"Flowers and Buds, Cut for Bouquets or Ornamental Purposes, Fresh, Dried, Bleached, Dyed, Impregnated or otherwise Prepared",2021,14,Jalisco,2,Vegetable Products,2694354
2,Exports,20603,"Flowers and Buds, Cut for Bouquets or Ornamental Purposes, Fresh, Dried, Bleached, Dyed, Impregnated or otherwise Prepared",2021,19,Nuevo León,2,Vegetable Products,238840
2,Exports,20604,"Foliage, Branches and other Parts of Plants, without Flowers or Flower Buds, and Grasses, Mosses and Lichens, for Bouquets or Ornamental Purposes, Fresh, Dried, Bleached, Dyed, otherwise Prepared",2021,9,Ciudad de México,2,Vegetable Products,757919
